 

Obsidian Energy Ltd
Cadotte (NAD 83)
13-8-83-17W5
OBE 102 Hz Cadotte 16-18-83-17W5
102/16-18-083-17W5/00
Final Survey (Lic# 0517936)?

----- Geographical data ----------------------
Mapdatum...........: North American Datum 1983
Map System............: Universal Transverse Mercator
Map Zone: Zone 11N (120 W to 114 W)
Latitude:56° 11' 8.1805 N
Longitude: 116° 39' 33.8210 W
Northing: 6226789.52
Easting: 521140.84

----- Geomagnetic data ----------------------
Magnetic model...........: HRGM
Magnetic date............: 28-Mar-2025
Magnetic field strength..:   56561.74 HCNT
Magnetic dec (+E/W-).....:      14.48 degrees
Magnetic dip.............:      75.92 degrees

----- Depth reference -----------------------
Permanent datum..........: Mean Sea Level                    
Depth reference..........: Actual KB
GL above permanent.......:    706.54 (m)
KB above permanent.......:    711.06 (m)
DF above permanent.......:    711.06 (m)

----- Corrections ---------------------------
Magnetic dec (+E/W-).....:      14.482 degrees
Grid convergence (+E/W-).:       0.28  degrees
Total az corr (+E/W-)....:      14.48  degrees
Total az corr (+E/W-)....:      14.48  degrees

----- Survey Type Information ---------------------------
H  4.52 - 1229.00 SURVEY #1 : MWD+IFR1+MS


MD,INCL,AZIMUTH,TVD,TVDSS,N(+),E(+),VS,DL/30m,UTM X,UTM Y, Lat, Long

1150.100,89.420,296.970,669.501,41.559,500.806,-335.170,601.723,6.201,520803.334,6227288.468,56.190103,-116.664793, 
1163.610,90.290,298.470,669.535,41.525,507.090,-347.128,613.930,3.851,520791.349,6227294.690,56.190160,-116.664986, 
1177.140,91.780,297.280,669.291,41.769,513.415,-359.086,626.168,4.228,520779.365,6227300.953,56.190217,-116.665178, 
1190.650,93.090,295.160,668.717,42.343,519.378,-371.194,638.208,5.530,520767.233,6227306.854,56.190270,-116.665373, 
1204.150,90.460,298.700,668.299,42.761,525.488,-383.221,650.317,9.797,520755.180,6227312.902,56.190325,-116.665567, 
1211.000,89.200,301.810,668.319,42.741,528.939,-389.137,656.629,14.696,520749.249,6227316.322,56.190356,-116.665662,Last Survey
1229.000,89.200,301.810,668.570,42.490,538.426,-404.432,673.400,0.000,520733.914,6227325.730,56.190441,-116.665909,Projection to Final TD


All data are in meters unless otherwise stated. Directions and coordinates are relative to True North.
Vertical depths are relative to Actual KB.  Northings and Eastings are relative to Well.

The Dogleg Severity is in Degrees per 30 meter.
Vertical Section is from Slot and calculated along an Azimuth of 323.088° (True).

Coordinate System is North American Datum 1983 Universal Transverse Mercator, Zone 11N (120 W to 114 W).
Grid Convergence at Surface is 0.283°.

Based upon Minimum Curvature type calculations, at a Measured Depth of 1229.00m.,
the Bottom Hole Displacement is 673.40m., in the Direction of 323.088° (True).
